Model,Method,Band,Emb,Tau,Type,Subject,NumPairs,T_stat,P_value,FastMean,SlowMean,P_FDR,Significant
0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,0.4962289026073033,0.312327249653868,0.1412365624724108,0.1636078091042707,0.4164363328718239,False
0.0,0.0,0.0,0.0,0.0,0.0,7.0,22,0.712369884395107,0.2420380625616755,0.1029617255452862,0.1515966508631883,0.4164363328718239,False
0.0,1.0,0.0,0.0,0.0,0.0,1.0,23,0.1298058009116743,0.4489498011127583,0.0596019628014273,0.0660532885186363,0.5130854869860094,False
0.0,1.0,0.0,0.0,0.0,0.0,7.0,22,0.600487991076651,0.2773035009199297,0.0061997893203464,0.0499195504329744,0.4164363328718239,False
0.0,2.0,0.0,0.0,0.0,0.0,1.0,23,1.197722203410883,0.1218853336669445,0.1649555345776842,0.2020909261422927,0.4164363328718239,False
0.0,2.0,0.0,0.0,0.0,0.0,7.0,22,0.8324671803761877,0.207256289383484,0.1616099981457456,0.1981129070657899,0.4164363328718239,False
0.0,3.0,0.0,0.0,0.0,0.0,1.0,23,-0.8592920312926943,0.800276971228249,0.16710263953777,0.1186162236451601,0.800276971228249,False
0.0,3.0,0.0,0.0,0.0,0.0,7.0,22,1.5953562306247782,0.0627864248302264,0.1106829202095606,0.2007016005182316,0.4164363328718239,False
1.0,0.0,0.0,0.0,0.0,0.0,1.0,23,0.1723665173919912,0.4323626144329956,0.1331637735886444,0.1419424783578265,0.7964900314019442,False
1.0,0.0,0.0,0.0,0.0,0.0,7.0,22,0.6297772104221324,0.2678165170563703,0.1077542444484827,0.1502287115786463,0.7964900314019442,False
1.0,0.0,0.0,0.0,1.0,0.0,1.0,23,-1.030354914044696,0.8429806776224977,0.15186939997168,0.1029906300785058,0.8991793894639976,False
1.0,0.0,0.0,0.0,1.0,0.0,7.0,22,0.1467206669014021,0.4423759584498268,0.0939153028314549,0.1018450053250196,0.7964900314019442,False
1.0,0.0,0.0,1.0,0.0,0.0,1.0,23,0.0111077725283699,0.4956187883144015,0.1343134451796905,0.1348218480953586,0.7964900314019442,False
1.0,0.0,0.0,1.0,0.0,0.0,7.0,22,0.846412909835737,0.2034323432591694,0.0851198313154331,0.1350502616652946,0.7964900314019442,False
1.0,0.0,0.0,1.0,1.0,0.0,1.0,23,-0.5079126456202409,0.69171531202438,0.1514471002782105,0.1284597010546555,0.8300583744292559,False
1.0,0.0,0.0,1.0,1.0,0.0,7.0,22,-0.1938244418506168,0.5759120327033176,0.1018711643059684,0.0909085527030398,0.7964900314019442,False
1.0,0.0,0.0,2.0,0.0,0.0,1.0,23,-0.0308763357094767,0.5121767170430714,0.1317254035633153,0.1302972788002058,0.7964900314019442,False
1.0,0.0,0.0,2.0,0.0,0.0,7.0,22,0.888834258161783,0.1920803382882147,0.0855165271336209,0.1366041008927071,0.7964900314019442,False
